# Freq.,Pxx2,Pxx3,Pxx4
3.200000000000000000e+01,7.553922813071734863e-07,8.734848763604972915e-07,8.034273218530547276e-07
3.300000000000000000e+01,7.437123350526141201e-07,6.072733619650027466e-07,1.046512540294327453e-06
3.400000000000000000e+01,9.317708669587858186e-07,6.248861738817721707e-07,8.513042649349488417e-07
3.500000000000000000e+01,8.199520902138574406e-07,8.586797070625143198e-07,8.265985400966117851e-07
3.600000000000000000e+01,6.442692471814956086e-07,8.288438700185856087e-07,8.132549881451656661e-07
3.700000000000000000e+01,8.793013097022502170e-07,8.822194589888886921e-07,8.449579496133959438e-07
3.800000000000000000e+01,8.815662437829179551e-07,9.798944831835892344e-07,8.647916088631518913e-07
3.900000000000000000e+01,1.383982769802869994e-06,1.711376584313532857e-06,1.039935888231579171e-06
4.000000000000000000e+01,1.137922192230160635e-06,1.440196377593206057e-06,1.051497603921722935e-06
4.100000000000000000e+01,5.604108430332931735e-07,9.020911450749729748e-07,7.034214644909188541e-07
4.200000000000000000e+01,5.796993176964720933e-07,8.727938625764116405e-07,5.947639437930429312e-07
4.300000000000000000e+01,6.258842317344503957e-07,7.393825093851786405e-07,5.373666506825876129e-07
4.400000000000000000e+01,4.534954386709852483e-07,7.723156396433349496e-07,5.133658346302490250e-07
4.500000000000000000e+01,4.792402181621255921e-07,7.571378808803962000e-07,5.123253665417209348e-07
4.600000000000000000e+01,5.148703202441362302e-07,6.972595459855346680e-07,5.538818085120118037e-07
4.700000000000000000e+01,4.498582205804338084e-07,7.050623628056731559e-07,6.582790631332856948e-07
4.800000000000000000e+01,4.431808554926628501e-07,5.447661842443361843e-07,5.465447797462024567e-07
4.900000000000000000e+01,4.525294022201179136e-07,5.781278602155575721e-07,5.313730062274736873e-07
5.000000000000000000e+01,3.735482523877716486e-07,4.811868656383596502e-07,4.807747829034346664e-07
5.100000000000000000e+01,3.085973749105125086e-07,2.771957674083397256e-07,3.269656243906666602e-07
5.200000000000000000e+01,2.373577956578429217e-07,2.272964445446900112e-07,2.508726827079766174e-07
5.300000000000000000e+01,2.389682611463200381e-07,2.402479994034531662e-07,2.753752095954602506e-07
5.400000000000000000e+01,2.278735718745624959e-07,2.376373514794870890e-07,2.928767922957730749e-07
5.500000000000000000e+01,2.021813977429590015e-07,2.242567162676309352e-07,2.675507251608478705e-07
5.600000000000000000e+01,2.478264830056036691e-07,2.063130920181491024e-07,2.738507644138426683e-07
5.700000000000000000e+01,2.074296535454937548e-07,1.969892309556059267e-07,2.586612792299553588e-07
5.800000000000000000e+01,2.039739522418135947e-07,2.483138358660538327e-07,2.472485930699206891e-07
5.900000000000000000e+01,1.933476062824812714e-07,2.247676000124277431e-07,2.376378182808097408e-07
6.000000000000000000e+01,1.987484060210691416e-07,2.054643578672720491e-07,1.671524791703205155e-07
6.100000000000000000e+01,1.786870076654545898e-07,2.247879919010566901e-07,2.017336497971777484e-07
6.200000000000000000e+01,1.603003545718162591e-07,2.277692570670467197e-07,2.476122731446526521e-07
6.300000000000000000e+01,1.737551721409445073e-07,2.792278420567808536e-07,2.878329533883480583e-07
6.400000000000000000e+01,1.933059927454619920e-07,3.160101126560184064e-07,2.552307847291007898e-07
6.500000000000000000e+01,2.140605095552251396e-07,2.357755946232200182e-07,2.301602267231248817e-07
6.600000000000000000e+01,1.983915161699823454e-07,1.484306559912247489e-07,1.718740383293769406e-07
6.700000000000000000e+01,1.558731526892052496e-07,1.161496866572398798e-07,1.528703003067977105e-07
6.800000000000000000e+01,1.256623898604051214e-07,1.509349166642325510e-07,1.491286695456954989e-07
6.900000000000000000e+01,1.391263171320854539e-07,1.569700794557216762e-07,1.654681316858855198e-07
7.000000000000000000e+01,1.213267733425528646e-07,1.623630038191853035e-07,1.637894871725381280e-07
7.100000000000000000e+01,1.154383283342051507e-07,1.812741334442497145e-07,1.408618980267937514e-07
7.200000000000000000e+01,1.276300063330977519e-07,1.684891756477357500e-07,1.447822448110377435e-07
7.300000000000000000e+01,1.169192006635094293e-07,1.690652992856421794e-07,1.457524949889887729e-07
7.400000000000000000e+01,1.030933798133774634e-07,1.688748753614210226e-07,1.367412824509036004e-07
7.500000000000000000e+01,9.939067735678643654e-08,1.419195730620098287e-07,1.243841016713767698e-07
7.600000000000000000e+01,8.886946882893197578e-08,1.761107758233142899e-07,1.379144074676438138e-07
7.700000000000000000e+01,1.853279330840226760e-07,2.909437614339625284e-07,2.395566234357312061e-07
7.800000000000000000e+01,1.228838086917309077e-07,1.864458364015976579e-07,1.602176157348110001e-07
7.900000000000000000e+01,7.414542448991285456e-08,1.207108413773411412e-07,9.199169259208557436e-08
8.000000000000000000e+01,5.932764672539279555e-08,9.472561517077762182e-08,7.990973560637231552e-08
8.100000000000000000e+01,5.027221515797363733e-08,8.174701139857471259e-08,7.410958296555367405e-08
8.200000000000000000e+01,4.750344144623454269e-08,6.915301727912716707e-08,8.502509471912420145e-08
8.300000000000000000e+01,6.648209000287490418e-08,8.155917483727263143e-08,8.376545804698519856e-08
8.400000000000000000e+01,6.955840029877414491e-08,8.633689563515366784e-08,8.540320442206054245e-08
8.500000000000000000e+01,6.444566277702641362e-08,9.785397034198880566e-08,1.062125315088864947e-07
8.600000000000000000e+01,6.966599511075128334e-08,9.866609020135556093e-08,8.830127602946183052e-08
8.700000000000000000e+01,4.460598107902784948e-08,6.009429239439879864e-08,7.444260145559381862e-08
8.800000000000000000e+01,4.030032502689827695e-08,7.817635908524369181e-08,7.484782997169896331e-08
8.900000000000000000e+01,5.603198809419386005e-08,1.015649707522132140e-07,8.628601583520446038e-08
9.000000000000000000e+01,5.321037748242123167e-08,8.166974557958004839e-08,7.269178300292557934e-08
9.100000000000000000e+01,4.637820678088058027e-08,7.580196342362546711e-08,7.808098959510475126e-08
9.200000000000000000e+01,4.176844618222340605e-08,8.047241013393196210e-08,8.842859951779389274e-08
9.300000000000000000e+01,3.826759396805447523e-08,7.124042592086158416e-08,9.159383784773917136e-08
9.400000000000000000e+01,3.823244180951176281e-08,7.048879554169234082e-08,8.973248018311078172e-08
9.500000000000000000e+01,5.545471859971685498e-08,8.787272730357418410e-08,8.744654793893751756e-08
9.600000000000000000e+01,5.734962039043662624e-08,1.027591102814296374e-07,1.055226761545573878e-07
9.700000000000000000e+01,5.519596910230684308e-08,1.017130308684071043e-07,1.179409953021805579e-07
9.800000000000000000e+01,6.447335335039575331e-08,1.055018713656596856e-07,9.647702358987861654e-08
9.900000000000000000e+01,9.103868531253015118e-08,1.035638833098983453e-07,1.201820283267559356e-07
1.000000000000000000e+02,9.775222894497882851e-08,1.118502925599109196e-07,1.186013781539091679e-07
